key	start	end
b	1653793211.9193866	1653793211.998125
a	1653793212.3301144	1653793212.462438
b	1653793212.755098	1653793212.8222177
l	1653793213.237077	1653793213.3123813
y	1653793213.7062578	1653793213.7803838
space	1653793214.7630858	1653793214.8870778
o	1653793215.682347	1653793215.786352
r	1653793216.6370897	1653793216.770082
i	1653793216.9940975	1653793217.0930867
g	1653793217.6571195	1653793217.7943895
i	1653793218.0430849	1653793218.1243145
n	1653793218.8994312	1653793218.9939313
a	1653793219.2467265	1653793219.3545647
t	1653793219.8604178	1653793219.964419
e	1653793220.5656104	1653793220.6894417
d	1653793221.2440772	1653793221.3453364
space	1653793221.7714424	1653793221.8854465
i	1653793222.6680958	1653793222.7553554
n	1653793223.1380723	1653793223.2169218
space	1653793223.8084402	1653793223.9240763
t	1653793224.557319	1653793224.6710742
h	1653793224.9904492	1653793225.0720515
e	1653793225.493519	1653793225.6058183
space	1653793226.0304625	1653793226.1445565
b	1653793226.6170893	1653793226.7387946
o	1653793227.2500389	1653793227.3475206
r	1653793227.7164886	1653793227.8270957
d	1653793228.7995782	1653793228.9419665
e	1653793229.2719817	1653793229.4204721
r	1653793229.8360052	1653793229.9630728
l	1653793230.4199138	1653793230.5255435
a	1653793230.8420527	1653793230.9540563
n	1653793231.308073	1653793231.400967
d	1653793231.9880722	1653793232.128487
s	1653793232.5160375	1653793232.643105
space	1653793234.172071	1653793234.3255131
o	1653793234.8180985	1653793234.9221075
f	1653793235.507085	1653793235.620093
space	1653793236.1020987	1653793236.2673142
s	1653793237.0411143	1653793237.1940968
o	1653793237.4271045	1653793237.5330937
u	1653793238.0231152	1653793238.1030881
t	1653793238.6551168	1653793238.763086
h	1653793239.0930893	1653793239.1840944
w	1653793239.9003327	1653793240.098097
e	1653793240.4863598	1653793240.609615
s	1653793241.0680923	1653793241.197065
t	1653793241.5955226	1653793241.7190948
e	1653793242.0995436	1653793242.2341723
r	1653793242.687062	1653793242.7935476
n	1653793243.3282275	1653793243.4292028
space	1653793243.807092	1653793243.919105
c	1653793244.3330793	1653793244.456553
h	1653793244.7565534	1653793244.846071
i	1653793245.255652	1653793245.3402
n	1653793245.7065635	1653793245.7940955
a	1653793246.2212784	1653793246.342583
space	1653793246.739652	1653793246.8505702
a	1653793247.2583275	1653793247.3816571
n	1653793247.6835847	1653793247.7910972
d	1653793248.1620655	1653793248.2825782
space	1653793248.6425803	1653793248.7454498
n	1653793249.1480935	1653793249.2365837
o	1653793249.6431594	1653793249.7365863
r	1653793250.0105884	1653793250.14159
t	1653793250.7063613	1653793250.8281715
h	1653793251.2870536	1653793251.3742774
e	1653793251.7569811	1653793251.909004
r	1653793252.3832932	1653793252.4955857
n	1653793253.1830773	1653793253.2780616
space	1653793253.768095	1653793253.8666196
b	1653793254.7661436	1653793254.8466158
u	1653793255.314618	1653793255.3861444
r	1653793255.9216514	1653793256.049654
m	1653793256.7232232	1653793256.8110955
a	1653793257.1753314	1653793257.2736292
.	1653793258.614044	1653793258.7270954
space	1653793259.3156402	1653793259.4426413
a	1653793260.1096454	1653793260.2466462
n	1653793260.6886632	1653793260.7677298
